input,recipe_name,output
rice paneer capsicum ghee cashew onion potato,Paneer Pulao,"### CONTEXT
Ingredients: rice, paneer, capsicum, ghee, cashew, onion, potato

### ANSWER
<RECIPE_NAME> Paneer Pulao
<STEP> Heat ghee in a pot and sauté paneer until fragrant.
<STEP> Add capsicum and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add ghee and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with capsicum.
<END>"
fish mint cream yogurt garlic ginger,Tandoori Fish,"### CONTEXT
Ingredients: fish, mint, cream, yogurt, garlic, ginger

### ANSWER
<RECIPE_NAME> Tandoori Fish
<STEP> Marinate fish with mint, cream and yogurt thoroughly.
<STEP> Coat the mixture well so fish absorbs all flavors.
<STEP> Add spices according to your liking and mix again.
<STEP> Let the marinated fish rest for better flavor.
<STEP> Cook in oven or tandoor until edges become slightly charred.
<STEP> Brush with butter and roast briefly again.
<STEP> Serve hot with mint and lemon.
<END>"
brinjal mushroom carrot cream ghee beans,Brinjal Curry,"### CONTEXT
Ingredients: brinjal, mushroom, carrot, cream, ghee, beans

### ANSWER
<RECIPE_NAME> Brinjal Curry
<STEP> Heat oil in pan and sauté mushroom until slightly golden.
<STEP> Add carrot and cook until the mixture turns soft.
<STEP> Add brinjal with cream and stir gently to coat.
<STEP> Cook the mixture until brinjal absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
flour oil potato ghee mushroom cauliflower,Potato Paratha,"### CONTEXT
Ingredients: flour, oil, potato, ghee, mushroom, cauliflower

### ANSWER
<RECIPE_NAME> Potato Paratha
<STEP> Mix flour with oil and potato until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little ghee.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with oil or yogurt.
<END>"
rice raisins egg coriander carrot,Egg Biryani,"### CONTEXT
Ingredients: rice, raisins, egg, coriander, carrot

### ANSWER
<RECIPE_NAME> Egg Biryani
<STEP> Heat ghee in a pot and sauté raisins until fragrant.
<STEP> Add egg and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add coriander and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with egg.
<END>"
egg capsicum okra cream carrot yogurt,Egg Curry,"### CONTEXT
Ingredients: egg, capsicum, okra, cream, carrot, yogurt

### ANSWER
<RECIPE_NAME> Egg Curry
<STEP> Heat oil in pan and sauté capsicum until slightly golden.
<STEP> Add okra and cook until the mixture turns soft.
<STEP> Add egg with cream and stir gently to coat.
<STEP> Cook the mixture until egg absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
paneer capsicum carrot ginger ghee yogurt garlic,Paneer Butter Masala,"### CONTEXT
Ingredients: paneer, capsicum, carrot, ginger, ghee, yogurt, garlic

### ANSWER
<RECIPE_NAME> Paneer Butter Masala
<STEP> Heat oil in pan and sauté capsicum until slightly golden.
<STEP> Add carrot and cook until the mixture turns soft.
<STEP> Add paneer with ginger and stir gently to coat.
<STEP> Cook the mixture until paneer absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
okra mushroom spinach garlic,Spinach Curry,"### CONTEXT
Ingredients: okra, mushroom, spinach, garlic

### ANSWER
<RECIPE_NAME> Spinach Curry
<STEP> Heat oil in pan and sauté mushroom until slightly golden.
<STEP> Add spinach and cook until the mixture turns soft.
<STEP> Add okra with garlic and stir gently to coat.
<STEP> Cook the mixture until okra absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
cauliflower potato cashew paste spinach,Potato Curry,"### CONTEXT
Ingredients: cauliflower, potato, cashew paste, spinach

### ANSWER
<RECIPE_NAME> Potato Curry
<STEP> Heat oil in pan and sauté potato until slightly golden.
<STEP> Add cashew paste and cook until the mixture turns soft.
<STEP> Add cauliflower with spinach and stir gently to coat.
<STEP> Cook the mixture until cauliflower absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
spinach brinjal beans onion,Spinach Curry,"### CONTEXT
Ingredients: spinach, brinjal, beans, onion

### ANSWER
<RECIPE_NAME> Spinach Curry
<STEP> Heat oil in pan and sauté brinjal until slightly golden.
<STEP> Add beans and cook until the mixture turns soft.
<STEP> Add spinach with onion and stir gently to coat.
<STEP> Cook the mixture until spinach absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
flour cauliflower ghee mushroom,Cauliflower Paratha,"### CONTEXT
Ingredients: flour, cauliflower, ghee, mushroom

### ANSWER
<RECIPE_NAME> Cauliflower Paratha
<STEP> Mix flour with cauliflower and ghee until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little mushroom.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with cauliflower or yogurt.
<END>"
carrot cauliflower ginger mushroom garlic potato beans,Potato Fry,"### CONTEXT
Ingredients: carrot, cauliflower, ginger, mushroom, garlic, potato, beans

### ANSWER
<RECIPE_NAME> Potato Fry
<STEP> Heat oil in pan and sauté cauliflower until aromatic.
<STEP> Add carrot and cook on medium heat until sealed.
<STEP> Add ginger and stir continuously so ingredients combine well.
<STEP> Mix in mushroom and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with ginger and mushroom.
<END>"
flour ghee oil potato mushroom,Potato Paratha,"### CONTEXT
Ingredients: flour, ghee, oil, potato, mushroom

### ANSWER
<RECIPE_NAME> Potato Paratha
<STEP> Mix flour with ghee and oil until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little potato.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with ghee or yogurt.
<END>"
cauliflower beans mushroom cashew paste oil yogurt,Cauliflower Curry,"### CONTEXT
Ingredients: cauliflower, beans, mushroom, cashew paste, oil, yogurt

### ANSWER
<RECIPE_NAME> Cauliflower Curry
<STEP> Heat oil in pan and sauté beans until slightly golden.
<STEP> Add mushroom and cook until the mixture turns soft.
<STEP> Add cauliflower with cashew paste and stir gently to coat.
<STEP> Cook the mixture until cauliflower absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
flour cauliflower peas ghee mushroom,Cauliflower Paratha,"### CONTEXT
Ingredients: flour, cauliflower, peas, ghee, mushroom

### ANSWER
<RECIPE_NAME> Cauliflower Paratha
<STEP> Mix flour with cauliflower and peas until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little ghee.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with cauliflower or yogurt.
<END>"
rice peas mushroom beans ghee paneer egg,Paneer Pulao,"### CONTEXT
Ingredients: rice, peas, mushroom, beans, ghee, paneer, egg

### ANSWER
<RECIPE_NAME> Paneer Pulao
<STEP> Heat ghee in a pot and sauté peas until fragrant.
<STEP> Add mushroom and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add beans and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with mushroom.
<END>"
chicken spinach butter beans,Chicken Fry,"### CONTEXT
Ingredients: chicken, spinach, butter, beans

### ANSWER
<RECIPE_NAME> Chicken Fry
<STEP> Heat oil in pan and sauté spinach until aromatic.
<STEP> Add chicken and cook on medium heat until sealed.
<STEP> Add butter and stir continuously so ingredients combine well.
<STEP> Mix in beans and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with butter and beans.
<END>"
mushroom ghee cauliflower spinach okra cashew paste cream,Cauliflower Curry,"### CONTEXT
Ingredients: mushroom, ghee, cauliflower, spinach, okra, cashew paste, cream

### ANSWER
<RECIPE_NAME> Cauliflower Curry
<STEP> Heat oil in pan and sauté ghee until slightly golden.
<STEP> Add cauliflower and cook until the mixture turns soft.
<STEP> Add mushroom with spinach and stir gently to coat.
<STEP> Cook the mixture until mushroom absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
flour mushroom oil water potato cauliflower yogurt,Potato Paratha,"### CONTEXT
Ingredients: flour, mushroom, oil, water, potato, cauliflower, yogurt

### ANSWER
<RECIPE_NAME> Potato Paratha
<STEP> Mix flour with mushroom and oil until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little water.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with mushroom or yogurt.
<END>"
spinach carrot onion garlic beans ginger peas,Spinach Fry,"### CONTEXT
Ingredients: spinach, carrot, onion, garlic, beans, ginger, peas

### ANSWER
<RECIPE_NAME> Spinach Fry
<STEP> Heat oil in pan and sauté carrot until aromatic.
<STEP> Add spinach and cook on medium heat until sealed.
<STEP> Add onion and stir continuously so ingredients combine well.
<STEP> Mix in garlic and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with onion and garlic.
<END>"
chicken ghee beans capsicum,Chicken Curry,"### CONTEXT
Ingredients: chicken, ghee, beans, capsicum

### ANSWER
<RECIPE_NAME> Chicken Curry
<STEP> Heat oil in pan and sauté ghee until slightly golden.
<STEP> Add beans and cook until the mixture turns soft.
<STEP> Add chicken with capsicum and stir gently to coat.
<STEP> Cook the mixture until chicken absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
flour yogurt peas paneer,Paneer Paratha,"### CONTEXT
Ingredients: flour, yogurt, peas, paneer

### ANSWER
<RECIPE_NAME> Paneer Paratha
<STEP> Mix flour with yogurt and peas until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little paneer.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with yogurt or yogurt.
<END>"
capsicum ghee onion garlic,Capsicum Curry,"### CONTEXT
Ingredients: capsicum, ghee, onion, garlic

### ANSWER
<RECIPE_NAME> Capsicum Curry
<STEP> Heat oil in pan and sauté ghee until slightly golden.
<STEP> Add onion and cook until the mixture turns soft.
<STEP> Add capsicum with garlic and stir gently to coat.
<STEP> Cook the mixture until capsicum absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
egg ginger garlic peas,Egg Fry,"### CONTEXT
Ingredients: egg, ginger, garlic, peas

### ANSWER
<RECIPE_NAME> Egg Fry
<STEP> Heat oil in pan and sauté ginger until aromatic.
<STEP> Add egg and cook on medium heat until sealed.
<STEP> Add garlic and stir continuously so ingredients combine well.
<STEP> Mix in peas and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with garlic and peas.
<END>"
rice onion potato peas,Potato Biryani,"### CONTEXT
Ingredients: rice, onion, potato, peas

### ANSWER
<RECIPE_NAME> Potato Biryani
<STEP> Heat ghee in a pot and sauté onion until fragrant.
<STEP> Add potato and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add peas and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with potato.
<END>"
fish potato mushroom spinach peas capsicum,Fish Fry,"### CONTEXT
Ingredients: fish, potato, mushroom, spinach, peas, capsicum

### ANSWER
<RECIPE_NAME> Fish Fry
<STEP> Heat oil in pan and sauté potato until aromatic.
<STEP> Add fish and cook on medium heat until sealed.
<STEP> Add mushroom and stir continuously so ingredients combine well.
<STEP> Mix in spinach and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with mushroom and spinach.
<END>"
capsicum ginger potato mushroom carrot,Potato Fry,"### CONTEXT
Ingredients: capsicum, ginger, potato, mushroom, carrot

### ANSWER
<RECIPE_NAME> Potato Fry
<STEP> Heat oil in pan and sauté ginger until aromatic.
<STEP> Add capsicum and cook on medium heat until sealed.
<STEP> Add potato and stir continuously so ingredients combine well.
<STEP> Mix in mushroom and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with potato and mushroom.
<END>"
rice potato peas paneer,Paneer Pulao,"### CONTEXT
Ingredients: rice, potato, peas, paneer

### ANSWER
<RECIPE_NAME> Paneer Pulao
<STEP> Heat ghee in a pot and sauté potato until fragrant.
<STEP> Add peas and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add paneer and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with peas.
<END>"
mushroom carrot brinjal okra capsicum garlic,Okra Curry,"### CONTEXT
Ingredients: mushroom, carrot, brinjal, okra, capsicum, garlic

### ANSWER
<RECIPE_NAME> Okra Curry
<STEP> Heat oil in pan and sauté carrot until slightly golden.
<STEP> Add brinjal and cook until the mixture turns soft.
<STEP> Add mushroom with okra and stir gently to coat.
<STEP> Cook the mixture until mushroom absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
paneer mushroom peas ghee,Malai Paneer,"### CONTEXT
Ingredients: paneer, mushroom, peas, ghee

### ANSWER
<RECIPE_NAME> Malai Paneer
<STEP> Heat oil in pan and sauté mushroom until slightly golden.
<STEP> Add peas and cook until the mixture turns soft.
<STEP> Add paneer with ghee and stir gently to coat.
<STEP> Cook the mixture until paneer absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
egg ginger carrot oil onion garlic,Egg Fry,"### CONTEXT
Ingredients: egg, ginger, carrot, oil, onion, garlic

### ANSWER
<RECIPE_NAME> Egg Fry
<STEP> Heat oil in pan and sauté ginger until aromatic.
<STEP> Add egg and cook on medium heat until sealed.
<STEP> Add carrot and stir continuously so ingredients combine well.
<STEP> Mix in oil and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with carrot and oil.
<END>"
rice carrot yogurt coriander mint,Carrot Biryani,"### CONTEXT
Ingredients: rice, carrot, yogurt, coriander, mint

### ANSWER
<RECIPE_NAME> Carrot Biryani
<STEP> Heat ghee in a pot and sauté carrot until fragrant.
<STEP> Add yogurt and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add coriander and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with yogurt.
<END>"
mutton mushroom oil cream cashew paste,Mutton Curry,"### CONTEXT
Ingredients: mutton, mushroom, oil, cream, cashew paste

### ANSWER
<RECIPE_NAME> Mutton Curry
<STEP> Heat oil in pan and sauté mushroom until slightly golden.
<STEP> Add oil and cook until the mixture turns soft.
<STEP> Add mutton with cream and stir gently to coat.
<STEP> Cook the mixture until mutton absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
egg brinjal yogurt okra peas,Egg Curry,"### CONTEXT
Ingredients: egg, brinjal, yogurt, okra, peas

### ANSWER
<RECIPE_NAME> Egg Curry
<STEP> Heat oil in pan and sauté brinjal until slightly golden.
<STEP> Add yogurt and cook until the mixture turns soft.
<STEP> Add egg with okra and stir gently to coat.
<STEP> Cook the mixture until egg absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
flour cauliflower ghee spinach,Cauliflower Paratha,"### CONTEXT
Ingredients: flour, cauliflower, ghee, spinach

### ANSWER
<RECIPE_NAME> Cauliflower Paratha
<STEP> Mix flour with cauliflower and ghee until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little spinach.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with cauliflower or yogurt.
<END>"
flour oil mushroom peas,Paratha,"### CONTEXT
Ingredients: flour, oil, mushroom, peas

### ANSWER
<RECIPE_NAME> Paratha
<STEP> Mix flour with oil and mushroom until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little peas.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with oil or yogurt.
<END>"
carrot oil garlic capsicum beans spinach,Spinach Curry,"### CONTEXT
Ingredients: carrot, oil, garlic, capsicum, beans, spinach

### ANSWER
<RECIPE_NAME> Spinach Curry
<STEP> Heat oil in pan and sauté oil until slightly golden.
<STEP> Add garlic and cook until the mixture turns soft.
<STEP> Add carrot with capsicum and stir gently to coat.
<STEP> Cook the mixture until carrot absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
flour mushroom onion water peas paneer spinach,Paneer Paratha,"### CONTEXT
Ingredients: flour, mushroom, onion, water, peas, paneer, spinach

### ANSWER
<RECIPE_NAME> Paneer Paratha
<STEP> Mix flour with mushroom and onion until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little water.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with mushroom or yogurt.
<END>"
rice mint mushroom coriander egg paneer,Paneer Biryani,"### CONTEXT
Ingredients: rice, mint, mushroom, coriander, egg, paneer

### ANSWER
<RECIPE_NAME> Paneer Biryani
<STEP> Heat ghee in a pot and sauté mint until fragrant.
<STEP> Add mushroom and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add coriander and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with mushroom.
<END>"
okra capsicum beans brinjal cauliflower,Cauliflower Curry,"### CONTEXT
Ingredients: okra, capsicum, beans, brinjal, cauliflower

### ANSWER
<RECIPE_NAME> Cauliflower Curry
<STEP> Heat oil in pan and sauté capsicum until slightly golden.
<STEP> Add beans and cook until the mixture turns soft.
<STEP> Add okra with brinjal and stir gently to coat.
<STEP> Cook the mixture until okra absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
rice egg potato ghee mushroom peas cashew,Egg Pulao,"### CONTEXT
Ingredients: rice, egg, potato, ghee, mushroom, peas, cashew

### ANSWER
<RECIPE_NAME> Egg Pulao
<STEP> Heat ghee in a pot and sauté egg until fragrant.
<STEP> Add potato and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add ghee and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with potato.
<END>"
rice beans cashew onion egg carrot peas,Egg Biryani,"### CONTEXT
Ingredients: rice, beans, cashew, onion, egg, carrot, peas

### ANSWER
<RECIPE_NAME> Egg Biryani
<STEP> Heat ghee in a pot and sauté beans until fragrant.
<STEP> Add cashew and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add onion and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with cashew.
<END>"
carrot mushroom capsicum beans ginger,Mushroom Fry,"### CONTEXT
Ingredients: carrot, mushroom, capsicum, beans, ginger

### ANSWER
<RECIPE_NAME> Mushroom Fry
<STEP> Heat oil in pan and sauté mushroom until aromatic.
<STEP> Add carrot and cook on medium heat until sealed.
<STEP> Add capsicum and stir continuously so ingredients combine well.
<STEP> Mix in beans and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with capsicum and beans.
<END>"
flour ghee peas salt water,Paratha,"### CONTEXT
Ingredients: flour, ghee, peas, salt, water

### ANSWER
<RECIPE_NAME> Paratha
<STEP> Mix flour with ghee and peas until evenly combined.
<STEP> Knead the mixture well until a soft smooth dough forms.
<STEP> Let the dough rest for some time so it becomes soft.
<STEP> Divide dough into small balls and roll into flat rounds.
<STEP> Cook each round on hot tawa using little salt.
<STEP> Flip and cook until both sides develop light brown spots.
<STEP> Serve hot with ghee or yogurt.
<END>"
mutton coriander butter yogurt cream garlic,Tandoori Mutton,"### CONTEXT
Ingredients: mutton, coriander, butter, yogurt, cream, garlic

### ANSWER
<RECIPE_NAME> Tandoori Mutton
<STEP> Marinate mutton with coriander, butter and yogurt thoroughly.
<STEP> Coat the mixture well so mutton absorbs all flavors.
<STEP> Add spices according to your liking and mix again.
<STEP> Let the marinated mutton rest for better flavor.
<STEP> Cook in oven or tandoor until edges become slightly charred.
<STEP> Brush with butter and roast briefly again.
<STEP> Serve hot with coriander and lemon.
<END>"
chicken cream capsicum oil ghee mushroom spinach,Afghani Chicken,"### CONTEXT
Ingredients: chicken, cream, capsicum, oil, ghee, mushroom, spinach

### ANSWER
<RECIPE_NAME> Afghani Chicken
<STEP> Heat oil in pan and sauté cream until slightly golden.
<STEP> Add capsicum and cook until the mixture turns soft.
<STEP> Add chicken with oil and stir gently to coat.
<STEP> Cook the mixture until chicken absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
mutton tomato ghee mushroom cashew paste garlic,Mutton Curry,"### CONTEXT
Ingredients: mutton, tomato, ghee, mushroom, cashew paste, garlic

### ANSWER
<RECIPE_NAME> Mutton Curry
<STEP> Heat oil in pan and sauté tomato until slightly golden.
<STEP> Add ghee and cook until the mixture turns soft.
<STEP> Add mutton with mushroom and stir gently to coat.
<STEP> Cook the mixture until mutton absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
paneer peas cauliflower spinach garlic,Paneer Fry,"### CONTEXT
Ingredients: paneer, peas, cauliflower, spinach, garlic

### ANSWER
<RECIPE_NAME> Paneer Fry
<STEP> Heat oil in pan and sauté peas until aromatic.
<STEP> Add paneer and cook on medium heat until sealed.
<STEP> Add cauliflower and stir continuously so ingredients combine well.
<STEP> Mix in spinach and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with cauliflower and spinach.
<END>"
cauliflower oil ginger onion,Cauliflower Fry,"### CONTEXT
Ingredients: cauliflower, oil, ginger, onion

### ANSWER
<RECIPE_NAME> Cauliflower Fry
<STEP> Heat oil in pan and sauté oil until aromatic.
<STEP> Add cauliflower and cook on medium heat until sealed.
<STEP> Add ginger and stir continuously so ingredients combine well.
<STEP> Mix in onion and cook until moisture reduces.
<STEP> Add spices according to your liking and toss evenly.
<STEP> Cook until dry and lightly crisp while stirring occasionally.
<STEP> Serve hot with ginger and onion.
<END>"
egg cashew paste carrot peas,Egg Curry,"### CONTEXT
Ingredients: egg, cashew paste, carrot, peas

### ANSWER
<RECIPE_NAME> Egg Curry
<STEP> Heat oil in pan and sauté cashew paste until slightly golden.
<STEP> Add carrot and cook until the mixture turns soft.
<STEP> Add egg with peas and stir gently to coat.
<STEP> Cook the mixture until egg absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
cauliflower cashew paste oil onion ghee,Cauliflower Curry,"### CONTEXT
Ingredients: cauliflower, cashew paste, oil, onion, ghee

### ANSWER
<RECIPE_NAME> Cauliflower Curry
<STEP> Heat oil in pan and sauté cashew paste until slightly golden.
<STEP> Add oil and cook until the mixture turns soft.
<STEP> Add cauliflower with onion and stir gently to coat.
<STEP> Cook the mixture until cauliflower absorbs the flavors.
<STEP> Add spices according to your liking and mix well.
<STEP> Simmer on low flame until the curry thickens nicely.
<STEP> Serve hot with rice or roti.
<END>"
rice mint peas carrot,Peas Biryani,"### CONTEXT
Ingredients: rice, mint, peas, carrot

### ANSWER
<RECIPE_NAME> Peas Biryani
<STEP> Heat ghee in a pot and sauté mint until fragrant.
<STEP> Add peas and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add carrot and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with peas.
<END>"
rice beans potato ghee,Potato Pulao,"### CONTEXT
Ingredients: rice, beans, potato, ghee

### ANSWER
<RECIPE_NAME> Potato Pulao
<STEP> Heat ghee in a pot and sauté beans until fragrant.
<STEP> Add potato and cook gently until slightly soft.
<STEP> Mix rice with rice and stir carefully.
<STEP> Add ghee and cook briefly so flavors combine well.
<STEP> Add spices according to your liking and mix evenly.
<STEP> Cover the pot and cook on low flame until rice is fluffy.
<STEP> Rest for few minutes before serving hot with potato.
<END>"
